"Station.Name","Station.Latitude","Station.Longitude","Recommended.Vs30..m.s."
"Malayer",34.309,48.801,378
"Toyserkan",34.552,48.442,378
"Hana",31.192,51.729,423
"Marand",38.445,45.774,371
"QarehQeshlaq",38.207,44.954,285
"Seyedtajedin",38.361,45.039,452
"Shabestar",38.176,45.708,452
"Tasooj",38.314,45.361,371
"Tazeh-Shahr",38.175,44.696,371
"YekanKahriz",38.672,45.403,452
"Zanjireh",38.456,45.366,492
"Andoohjerd",30.231,57.752,371
"Joshan",30.124,57.61,431
"Mahan",30.065,57.289,347
"BabaKalan",30.111,50.82,435
"Behbahan2",30.594,50.255,298
"Dehdasht",30.79,50.56,368
"TangedoukDam",30.8,50.44,394
"Alulak",36.421,50.029,539
"Jirandeh",36.702,49.795,539
"MoalemKelayeh",36.45,50.47,519
"QostinLar",36.41,50.25,539
"Zavarak",36.395,50.671,471
"KarehBas",29.45,52.17,378
"Richi",29.5,52.18,379
"Romghan",29.371,52.162,379
"Balaadeh",29.291,51.935,434
"Dizaj",36.35,55,318
"GhaleShokat",36.347,54.909,371
"Tazareh",36.399,54.475,431
"Nahand",38.25,46.47,428
"SatarkhanDam2",38.457,46.915,491.911721795659
"Varzaqan",38.507,46.64,428
"Abad",29.022,51.256,279
"Ahram",28.888,51.288,347
"Booshehr3",28.98,50.83,315
"Booshehr1",28.977,50.837,220
"Delvar",28.764,51.07,351
"Faryab",28.903,51.462,404
"Khoormoj",28.658,51.373,347
"Ghaemiyeh",29.846,51.59,345
"NoorAbadMamasani",30.116,51.521,345
"Gonbadli",36.387,60.859,290
"NasrAbad",35.418,60.313,371
"SalehAbad",35.687,61.091,391
"Aghband",37.67,55.19,366
"AliAbad",36.902,54.846,371
"Bandar-e-Gaz",36.763,53.952,318
"Bandar-e-Torkaman",36.89,54.06,285
"Behshahr",36.688,53.537,447
"Dibaj",36.429,54.231,431
"GhalehnoKharaqan",36.633,55.074,452
"Gomishan",37.069,54.077,266
"InchehBorun",37.456,54.724,266
"MohammadAbad",36.171,53.266,470
"Ramyan",37.019,55.139,368
"VoshmgirDam",37.207,54.736,266
"YanehSar",36.569,53.813,558
"DerakhtToot",35.75,61.1,391
"NargesZar",29.447,51.891,378
"AliHoseini",28.756,51.245,298
"Bandar-e-Genaveh",29.574,50.511,266
"Bandar-e-Rig",29.485,50.63,266
"ChehelZaree",29.488,50.856,298
"Shool",29.828,50.518,298
"Aghajari",30.7,49.829,423
"Omidiyeh",30.755,49.699,298
"Soveyreh",30.407,49.738,266
"BabaMonir",30.072,51.208,355
"KonarTakhteh",29.531,51.395,345
"TazehKandi",39.046,47.744,428
"Ziveh",39.114,47.651,396
"Behbahan1",30.66,50.304,368
"MaroonDam3",30.716,50.352,434
"Choobar",37.089,49.421,404
"Fooman",37.232,49.318,298
"Gosht",37.186,49.285,347
"Masooleh",37.154,48.991,558
"Rezvanshahr",37.549,49.137,347
"ShafaRoodDam",37.551,49.088,423
"Bandar-e-Dayyer",27.834,51.927,347
"Bardkhoon2",28.05,51.47,296
"Kaki",28.342,51.523,347
"Shonbeh",28.398,51.761,347
"Bandar-e-Asaluyeh1",27.479,52.609,266
"AghaBaba",36.34,49.76,347
"BakKandi",36.4,49.57,404
"Darsejin",36.023,49.235,452
"Deylaman",36.885,49.904,539
"Gilvan",36.781,49.132,452
"Nikooeyeh",36.28,49.55,539
"Razjerd",36.348,50.179,500
"Sirdan",36.65,49.18,539
"Ziyaz",36.879,50.228,558
"ZyaAbad",36,49.45,371
"Ajin",34.734,47.926,431
"Aran",34.41,47.92,455
"Armanijan",34.61,47.35,431
"Bistoon",34.38,47.43,452
"Kangavar",34.5,47.95,516
"Kermanshah1",34.3,47.07,455
"LenjAb",34.87,47.28,393
"Sahneh",34.47,47.68,393
"Sonqor",34.78,47.6,371
"Abgarm",35.756,49.284,393
"Avaj",35.58,49.22,431
"KaboodarAhang",35.205,48.721,285
"Razan",35.393,49.033,371
"Avargan",31.891,50.949,557
"Gandoman",31.861,51.154,423
"Shalamzar",32.049,50.818,378
"GotvandDam1",32.27,48.87,404
"Haftgel",31.442,49.529,370
"Izeh1",31.818,49.86,452
"MasjedSoleymanDam2",32.051,49.372,435
"MasjedSoleyman",31.983,49.247,394
"ShahidAbbasPoorDam1",32.05,49.604,394
"Shooshtar",32.047,48.846,351
"DehGolan",35.278,47.412,351
"Borazjan",29.258,51.216,325
"TangeEram",29.154,51.526,345
"GolestanDam1",37.322,55.283,266
"Sirch",30.203,57.557,505
"HajiAbad",28.35,54.42,423
"Jahrom",28.503,53.554,370
"Jouyom",28.259,53.982,347
"Kooreh",27.921,53.797,423
"Zahedshahr",28.742,53.805,347
"Bam",29.09,58.35,367
"Darbehesht",29.238,57.33,304
"NosratAbad",29.857,59.983,371
"ArasDam",39.088,45.398,402
"Kelvans",38.722,44.695,568
"Khoy",38.546,44.956,371
"Qareziaoddin",38.888,45.02,393
"Sharafkhaneh",38.174,45.488,371
"Shoot",39.221,44.771,345
"Khafr",30.995,51.481,557
"Komeh",31.069,51.591,507
"meymand",31.099,51.272,558
"BagchehJalil",30.65,51.265,434
"Margoun2",30.992,51.087,560
"Doobaran",28.411,54.182,347
"Hajib",35.54,50.16,463
"Mamooniyeh",35.299,50.51,246
"Razeghan",35.33,49.95,393
"Abaragh",29.347,57.94,371
"Baft",29.234,56.603,371
"Bardsir",29.913,56.576,287
"Bolvard",29.416,56.052,371
"Cheshmehsabz",29.465,56.418,567
"GhaleGanj",27.523,57.881,298
"Golbaf1",29.887,57.731,452
"HasanLangi",27.386,56.862,266
"Horjand",30.675,57.154,378
"Jiroft",28.671,57.736,287
"JiroftDam1",28.86,57.465,434
"Kahnooj",27.94,57.7,346
"Ravar2",31.263,56.791,248
"Rayen",29.59,57.44,452
"Shahdad",30.414,57.689,371
"Bagh-Malek",31.54,49.871,396
"MasjedSoleymanDam1",32.024,49.397,470
"Bam1",29.079,58.353,371
"Barvat",29.071,58.402,367
"Mich",28.821,58.29,452
"Booshehr5",28.903,50.821,215
"Rostami",28.568,51.083,315
"Abhar",36.15,49.22,459
"Abyek",36.02,50.52,347
"Alasht",36.069,52.837,558
"AlborzDam",36.225,52.801,558
"Amol",36.458,52.347,376
"Arjomand",35.807,52.512,538
"Babol",36.537,52.676,285
"Babolsar",36.698,52.656,285
"Bandar-e-Kyashahr",37.421,49.934,266
"Baraqan",35.953,50.935,538
"BoeenZahra",35.768,50.06,315
"Boomehen",35.732,51.857,404
"BouqdaKandi",36.574,48.145,393
"Chaboksar",36.976,50.575,368
"ChehelGhez",35.544,51.649,564
"Damavand",35.717,52.063,404
"Daraam",37.024,48.775,568
