"","EQID","ISC.Catalog.ID","Earthquake.Name","YEAR","MODY","HRMN","Magnitude","Magnitude.Type","Preferred.Moment.Magnitude","Hypocenter.Latitude","Hypocenter.Longitude","Hypocenter.Depth..km."
"8317",5302,601669935,"20120819FR",2012,819,1937,2.4,"Ms",3.79,38.47,46.72,4.9
"8331",5311,604084522,"20120819R",2012,819,37,3.15,"ML",3.6,38.437,46.712,11.9
"8394",5349,601766497,"20120826AR",2012,826,936,2.97,"Ms",4.14,38.459,46.658,14.2
"8398",5351,601766498,"20120826BR",2012,826,943,3.03,"Ms",4.18,38.467,46.677,16.8
"8404",5353,601766503,"20120826CR",2012,826,1308,3.17,"Ms",4.27,38.455,46.679,18
"8411",5359,601696918,"20120826R",2012,826,213,3,"Ms",4.16,38.503,46.73,18
"8422",5421,601741089,"20120927R",2012,927,56,4.4,"Ms",5.04,38.474,46.644,18
"8438",5427,601794924,"20121008R",2012,1008,825,3.58,"Ms",4.52,38.421,46.61,14.1
"8445",5430,601819790,"20121010R",2012,1010,1656,4.91,"M",4.91,29.298,52.532,14
"8483",5615,607304565,"Khaki-Iran",2013,409,1152,6.46,"M",6.46,28.467,51.568,11.3
"8570",5694,602822174,"20130418R",2013,418,1039,4.98,"M",4.98,38.318,45.363,8
"8583",5700,603041127,"20130419R",2013,419,1306,2.87,"Ms",4.08,31.862,50.944,10
"8594",5707,602880315,"20130424BR",2013,424,604,3.53,"Ms",4.49,28.443,51.545,13.7
"8600",5711,602880312,"20130424R",2013,424,308,3.47,"Ms",4.46,33.514,50.478,9
"8611",5718,602918518,"20130501AR",2013,501,1631,3.68,"Ms",4.59,28.406,51.646,18.6
"8631",5736,602918521,"20130501R",2013,501,1831,4.99,"M",4.99,28.317,51.706,20
"8673",5766,-999,"20130512BR",2013,512,2240,4.4,"mb",4.52,29.581,52.733,14
"8709",5797,602948986,"20130513R",2013,513,2219,3.94,"Ms",4.75,28.411,51.686,10
"8782",5851,603490824,"20130927R",2013,927,1002,3.7,"Ms",4.6,37.36,45.13,14.2
"8801",5861,603806639,"20131122CR",2013,1122,1830,5.73,"M",5.73,34.289,45.555,10
"8808",5863,603801015,"20131122R",2013,1122,651,5.7,"M",5.7,34.353,45.438,10
"8818",5865,603810487,"20131124AR",2013,1124,1805,5.43,"M",5.43,34.3,45.593,13.8
"8828",5868,603820294,"20131128AR",2013,1128,1556,3.4,"Ms",4.41,29.289,51.324,10
"8832",5870,603820291,"20131128R",2013,1128,1351,5.79,"M",5.79,29.317,51.311,7.9
"8847",5872,603821243,"20131129R",2013,1129,605,3.03,"Ms",4.18,29.224,51.324,8
"8858",5880,604844584,"20131217R",2013,1217,2007,3.9,"ML",4.35,29.024,58.34,14
"8871",5363,602995878,"20120828R",2012,828,1746,3.33,"ML",3.78,38.433,46.735,13.2
"8874",5364,601755555,"20120829R",2012,829,1146,2.93,"Ms",4.12,38.425,46.629,14.1
"8882",5369,601664263,"20120831R",2012,831,834,2.7,"Ms",3.97,38.41,46.689,14.1
"8888",5370,601717324,"20120901R",2012,901,504,3.63,"ML",4.08,38.381,46.752,14.1
"8893",5371,604084556,"20120902AR",2012,902,253,3.45,"ML",3.9,38.409,46.855,13.5
"8897",5373,601670446,"20120902BR",2012,902,850,3.26,"Ms",4.32,38.456,46.746,14.1
"8921",5382,602996539,"20120903AR",2012,903,2243,3.4,"ML",3.85,38.429,46.667,5.9
"8929",5386,601675408,"20120905R",2012,905,933,3.13,"Ms",4.24,38.516,46.73,18
"8938",5389,601863023,"20120906R",2012,906,309,3.35,"ML",3.8,38.4,46.661,4
"8956",5398,601738026,"20120910R",2012,910,855,2.77,"Ms",4.02,38.489,46.719,16.6
"8964",5403,601751664,"20120914R",2012,914,219,2.8,"Ms",4.04,38.467,46.655,7.2
"8978",5410,601719520,"20120917R",2012,917,705,3.25,"Ms",4.32,38.484,46.693,18
"8984",5412,601736494,"20120922R",2012,922,450,3.2,"Ms",4.29,38.464,46.684,14.1
"8995",5447,601999004,"20121020R",2012,1020,341,3.58,"ML",4.03,38.406,46.631,4
"9002",5452,601851728,"20121026R",2012,1026,2231,4.51,"M",4.51,38.481,46.652,17
"9014",5456,601852898,"20121027R",2012,1027,356,3.13,"Ms",4.24,38.491,46.658,17.2
"9020",5458,604084679,"20121106AR",2012,1106,1313,3.67,"ML",4.12,38.395,46.611,4
"9026",5461,604084682,"20121107BR",2012,1107,635,3.05,"ML",3.5,38.45,46.56,4.1
"9031",5463,602054270,"20121107DR",2012,1107,702,3.4,"Ms",4.41,38.486,46.561,14.1
"9044",5471,-999,"20121107R",2012,1107,626,5.6,"M",5.6,38.45,46.52,14
"9069",5475,601883737,"20121110R",2012,1110,1348,3.1,"Ms",4.22,38.488,46.727,14.1
"9073",5476,601991688,"20121111R",2012,1111,402,3.47,"ML",3.92,38.494,46.594,4
"9077",5478,604084695,"20121112R",2012,1112,1210,3.8,"ML",4.25,38.467,46.54,8.9
"9083",5480,601903371,"20121116R",2012,1116,358,4.87,"M",4.87,38.564,46.585,15
"9092",5481,604084709,"20121117R",2012,1117,1452,3.4,"ML",3.85,38.421,46.847,6
"9107",5491,601996088,"20121205R",2012,1205,1708,5.78,"M",5.78,33.472,59.563,14.1
"9116",5493,602056611,"20121223R",2012,1223,638,5.09,"M",5.09,38.487,44.934,12
"9128",5496,602380752,"20121228R",2012,1228,17,3.15,"ML",3.6,38.385,46.657,4
"9132",5499,602213390,"20130106R",2013,106,1524,3.28,"Ms",4.34,30.234,57.473,10
"9141",5504,602400903,"20130112AR",2013,112,333,3.73,"ML",4.18,31.81,51.07,14
"9155",5510,602856160,"20130121R",2013,121,1948,5.48,"M",5.48,30.368,57.466,10
"9174",5522,602354473,"20130125R",2013,125,1211,5.02,"M",5.02,31.882,50.954,5
"9181",5525,-999,"20130126R",2013,126,1510,4.8,"mb",4.97,38.295,46.814,18
"9212",5535,-999,"20130129R",2013,129,1250,3.4,"M",3.4,38.396,46.825,6
"9218",5538,-999,"20130212AR",2013,212,2231,3.8,"M",3.8,38.481,46.722,9
"9234",5544,-999,"20130302AR",2013,302,1732,3.6,"M",3.6,38.421,46.705,4
"9240",5547,602567172,"20130302CR",2013,302,1924,3.62,"Ms",4.55,31.94,51.023,10
"9249",5550,602567173,"20130302R",2013,302,1929,3.2,"Ms",4.29,31.929,51.043,8
"9254",5553,602567962,"20130303R",2013,303,2059,3.48,"Ms",4.46,38.64,46.85,14
"9268",5558,602754657,"20130318R",2013,318,953,3.05,"Ms",4.19,38.4,46.657,4
"9337",5624,602772030,"20130410AR",2013,410,158,5.44,"M",5.44,28.473,51.684,26.9
"9344",5626,602772037,"20130410BR",2013,410,710,5.13,"M",5.13,28.36,51.78,11.1
"9349",5629,602772039,"20130410CR",2013,410,800,5.24,"M",5.24,28.406,51.653,20
"9385",5658,602788032,"20130414AR",2013,414,909,3,"Ms",4.16,28.145,51.479,22.6
